model;price;date added;power of engine;used;number of previous owners;transmission type;fuel type;fuel consumption;co2 emissions
SEAT Arona ;€ 19,480.-;16,300 km;10/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
Opel Crossland ;€ 15,995.-;115,340 km;10/2017;60 kW (82 hp);Used;- (Previous Owners);Manual;CNG;5.2 kg/100 km (comb.);- (g/km)
SEAT Arona ;€ 19,980.-;13,000 km;06/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
Toyota Auris ;€ 17,000.-;31,400 km;07/2018;100 kW (136 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4.3 l/100 km (comb.);- (g/km)
Toyota Land Cruiser ;€ 28,800.-;406,000 km;07/2015;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;8.1 l/100 km (comb.);- (g/km)
Mercedes-Benz Citan ;€ 33,588.-;1,268 km;11/2021;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);140 g/km (comb.)
SEAT Arona ;€ 19,480.-;40,200 km;07/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
SEAT Arona ;€ 19,980.-;40,300 km;02/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
Lancia Beta ;€ 15,500.-;140,000 km;06/1975;86 kW (117 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
BMW 116 ;€ 10,990.-;134,750 km;07/2014;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);- (g/km)
Peugeot 508 ;€ 12,990.-;118,800 km;06/2017;88 kW (120 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);- (g/km)
Jeep Renegade ;€ 15,990.-;86,290 km;11/2018;88 kW (120 hp);Used;- (Previous Owners);Manual;Gasoline;5.7 l/100 km (comb.);- (g/km)
Opel Astra ;€ 13,990.-;43,025 km;02/2019;77 kW (105 hp);Used;- (Previous Owners);Manual;Gasoline;4.3 l/100 km (comb.);- (g/km)
SEAT Arona ;€ 17,480.-;73,900 km;09/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
BMW 118 ;€ 23,400.-;41,222 km;07/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.4 l/100 km (comb.);- (g/km)
SEAT Arona ;€ 18,980.-;23,400 km;11/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
Mercedes-Benz Vito ;€ 35,988.-;43,710 km;06/2020;100 kW (136 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);194 g/km (comb.)
Citroen C4 ;€ 8,250.-;178,131 km;10/2012;80 kW (109 hp);Used;- (Previous Owners);Manual;Diesel;5.4 l/100 km (comb.);- (g/km)
SEAT Alhambra ;€ 27,480.-;141,200 km;06/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);137 g/km (comb.)
Citroen C4 ;€ 9,290.-;173,035 km;06/2013;82 kW (111 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
SEAT Alhambra ;€ 21,980.-;148,200 km;10/2018;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);135 g/km (comb.)
Mercedes-Benz Vito ;€ 35,988.-;44,205 km;07/2020;100 kW (136 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);197 g/km (comb.)
SEAT Alhambra ;€ 29,980.-;123,300 km;10/2019;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;5.6 l/100 km (comb.);162 g/km (comb.)
SEAT Alhambra ;€ 22,980.-;158,100 km;07/2019;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;5 l/100 km (comb.);135 g/km (comb.)
SEAT Leon ;€ 13,500.-;80,000 km;10/2017;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);- (g/km)
Land Rover Range Rover Velar ;€ 41,490.-;105,701 km;04/2019;132 kW (179 hp);Used;- (Previous Owners);Automatic;Diesel;5.4 l/100 km (comb.);- (g/km)
SEAT Alhambra ;€ 22,480.-;164,100 km;04/2020;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);137 g/km (comb.)
Volkswagen Polo GTI ;€ 23,980.-;21,400 km;02/2020;147 kW (200 hp);Used;1 previous owner;Automatic;Gasoline;5.9 l/100 km (comb.);138 g/km (comb.)
Renault Master ;€ 32,388.-;45,966 km;06/2019;125 kW (170 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);187 g/km (comb.)
Volkswagen Polo ;€ 16,480.-;84,500 km;05/2019;70 kW (95 hp);Used;1 previous owner;Manual;Diesel;3.8 l/100 km (comb.);99 g/km (comb.)
Mercedes-Benz Sprinter ;€ 45,588.-;54,251 km;07/2020;105 kW (143 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);206 g/km (comb.)
Volkswagen Polo ;€ 14,480.-;37,631 km;12/2018;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);99 g/km (comb.)
Volkswagen Polo ;€ 14,480.-;115,700 km;12/2018;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);99 g/km (comb.)
BMW 525 ;€ 4,500.-;239,500 km;02/2007;130 kW (177 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Volkswagen Polo ;€ 15,980.-;111,600 km;01/2019;70 kW (95 hp);Used;1 previous owner;Manual;Diesel;3.8 l/100 km (comb.);99 g/km (comb.)
Renault Master ;€ 32,388.-;27,060 km;09/2019;96 kW (131 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);204 g/km (comb.)
Renault ;€ 10,500.-;137,710 km;04/2017;55 kW (75 hp);Used;-/-;Manual;Diesel;5.2 l/100 km (comb.);- (g/km)
Jeep Cherokee ;€ 17,950.-;140,000 km;07/1985;86 kW (117 hp);Used;3 previous owners;Automatic;Gasoline;10 l/100 km (comb.);- (g/km)
Volkswagen Polo ;€ 14,980.-;97,300 km;02/2019;70 kW (95 hp);Used;1 previous owner;Manual;Diesel;3.7 l/100 km (comb.);99 g/km (comb.)
Volkswagen Polo ;€ 17,480.-;78,000 km;04/2019;70 kW (95 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz Sprinter ;€ 45,588.-;69,307 km;06/2020;105 kW (143 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);206 g/km (comb.)
Volkswagen Polo ;€ 15,980.-;82,000 km;04/2019;70 kW (95 hp);Used;1 previous owner;Manual;Gasoline;- (l/100 km);- (g/km)
Lexus NX 300 ;€ 29,749.-;99,729 km;10/2018;145 kW (197 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;5.4 l/100 km (comb.);- (g/km)
Volkswagen Polo ;€ 17,980.-;48,800 km;04/2019;70 kW (95 hp);Used;1 previous owner;Manual;Gasoline;- (l/100 km);- (g/km)
Ford Transit ;€ 43,188.-;11,624 km;01/2021;96 kW (131 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);224 g/km (comb.)
Toyota C-HR ;€ 24,490.-;56,000 km;01/2021;135 kW (184 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4 l/100 km (comb.);- (g/km)
Mercedes-Benz Marco Polo ;€ 100,436.-;41,781 km;06/2020;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);235 g/km (comb.)
Volkswagen Polo ;€ 16,980.-;86,300 km;12/2018;70 kW (95 hp);Used;1 previous owner;Manual;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz V 250 ;€ 99,990.-;4,374 km;08/2021;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);218 g/km (comb.)
Citroen C3 ;€ 15,900.-;74,743 km;03/2019;81 kW (110 hp);Used;- (Previous Owners);Automatic;Gasoline;4.9 l/100 km (comb.);- (g/km)
Toyota Auris ;€ 8,999.-;169,999 km;05/2016;82 kW (111 hp);Used;2 previous owners;Manual;Diesel;4.7 l/100 km (comb.);110 g/km (comb.)
Peugeot 308 ;€ 37,300.-;15,097 km;12/2021;165 kW (224 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
Opel Corsa ;€ 16,200.-;36,540 km;12/2018;66 kW (90 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Volkswagen Golf ;€ 18,980.-;123,500 km;01/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.5 l/100 km (comb.);115 g/km (comb.)
Peugeot 308 ;€ 29,900.-;5,870 km;12/2021;96 kW (131 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Peugeot 308 ;€ 24,900.-;40,808 km;07/2021;96 kW (131 hp);Used;- (Previous Owners);Automatic;Diesel;3.5 l/100 km (comb.);- (g/km)
Peugeot 208 ;€ 20,900.-;16,205 km;02/2020;75 kW (102 hp);Used;- (Previous Owners);Automatic;Gasoline;4.3 l/100 km (comb.);- (g/km)
Peugeot 508 ;€ 57,800.-;13,156 km;02/2022;265 kW (360 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
Peugeot 308 ;€ 31,900.-;6,587 km;02/2022;96 kW (131 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Peugeot 308 ;€ 29,900.-;5,032 km;12/2021;96 kW (131 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Peugeot 508 ;€ 52,900.-;16,000 km;04/2021;265 kW (360 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
BMW X1 ;€ 27,990.-;25,000 km;05/2018;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.6 l/100 km (comb.);- (g/km)
Mercedes-Benz V 250 ;€ 57,388.-;84,960 km;06/2018;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);158 g/km (comb.)
Fiat Punto Evo ;€ 4,800.-;132,023 km;03/2009;55 kW (75 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Toyota Avensis ;€ 16,500.-;74,787 km;06/2017;105 kW (143 hp);Used;- (Previous Owners);Manual;Diesel;4.5 l/100 km (comb.);- (g/km)
Citroen C4 Cactus ;€ 10,900.-;104,535 km;04/2016;73 kW (99 hp);Used;- (Previous Owners);Automatic;Diesel;3.4 l/100 km (comb.);- (g/km)
Volkswagen Golf ;€ 19,980.-;127,400 km;04/2018;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.5 l/100 km (comb.);117 g/km (comb.)
Mercedes-Benz Sprinter ;€ 39,588.-;44,416 km;09/2019;120 kW (163 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);210 g/km (comb.)
Volkswagen Golf ;€ 19,980.-;93,100 km;01/2020;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
BMW ;€ 22,630.-;100,463 km;08/2016;135 kW (184 hp);Used;- (Previous Owners);Automatic;Others;- (l/100 km);45 g/km (comb.)
Mercedes-Benz Sprinter ;€ 39,588.-;38,063 km;09/2019;120 kW (163 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);210 g/km (comb.)
Mercedes-Benz B 200 ;€ 13,680.-;162,977 km;09/2015;100 kW (136 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);112 g/km (comb.)
Bentley Continental ;€ 100,000.-;112,000 km;12/2010;412 kW (560 hp);Used;1 previous owner;Semi-automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz Sprinter ;€ 39,588.-;47,042 km;09/2019;120 kW (163 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);210 g/km (comb.)
Volkswagen Golf ;€ 18,980.-;129,500 km;02/2018;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.5 l/100 km (comb.);117 g/km (comb.)
Opel Astra ;€ 1,750.-;120 km;10/2004;55 kW (75 hp);Used;- (Previous Owners);Manual;Diesel;4.8 l/100 km (comb.);130 g/km (comb.)
Mercedes-Benz Sprinter ;€ 39,588.-;34,956 km;09/2019;120 kW (163 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);210 g/km (comb.)
Volkswagen Golf ;€ 16,980.-;134,700 km;02/2019;85 kW (116 hp);Used;1 previous owner;Automatic;Diesel;4.2 l/100 km (comb.);108 g/km (comb.)
Mercedes-Benz Sprinter ;€ 39,588.-;47,399 km;09/2019;120 kW (163 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);210 g/km (comb.)
Volkswagen Golf ;€ 15,870.-;135,700 km;05/2019;85 kW (116 hp);Used;1 previous owner;Automatic;Diesel;4.2 l/100 km (comb.);108 g/km (comb.)
Volkswagen Golf ;€ 17,480.-;117,500 km;01/2019;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);108 g/km (comb.)
Alfa Romeo 159 ;€ 4,500.-;294,000 km;07/2011;100 kW (136 hp);Used;- (Previous Owners);Manual;Diesel;5.2 l/100 km (comb.);137 g/km (comb.)
Volkswagen Golf ;€ 16,980.-;125,900 km;04/2018;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);106 g/km (comb.)
Volkswagen Golf ;€ 16,480.-;138,800 km;03/2019;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 18,480.-;116,500 km;06/2020;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 18,480.-;101,400 km;01/2020;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 18,480.-;100,900 km;07/2020;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 20,980.-;108,500 km;02/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.5 l/100 km (comb.);115 g/km (comb.)
Volkswagen Scirocco ;€ 12,450.-;122,183 km;08/2014;90 kW (122 hp);Used;2 previous owners;Manual;Gasoline;5.4 l/100 km (comb.);125 g/km (comb.)
Volkswagen Golf ;€ 19,980.-;128,900 km;03/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.5 l/100 km (comb.);115 g/km (comb.)
Volkswagen Golf ;€ 17,480.-;118,500 km;08/2019;85 kW (116 hp);Used;1 previous owner;Automatic;Diesel;4.2 l/100 km (comb.);108 g/km (comb.)
Volkswagen Golf ;€ 12,980.-;185,700 km;07/2018;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);106 g/km (comb.)
Volkswagen Golf ;€ 15,870.-;160,900 km;05/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 19,980.-;56,500 km;07/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 19,980.-;75,000 km;05/2019;85 kW (116 hp);Used;1 previous owner;Automatic;Diesel;4 l/100 km (comb.);106 g/km (comb.)
Volkswagen Golf ;€ 18,370.-;71,700 km;06/2019;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 18,370.-;82,500 km;03/2019;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 16,980.-;103,800 km;06/2019;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 19,480.-;32,200 km;05/2019;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 15,980.-;129,000 km;11/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 19,480.-;46,500 km;09/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Ford B-Max ;€ 7,000.-;149,777 km;03/2015;74 kW (101 hp);Used;1 previous owner;Manual;Gasoline;4.7 l/100 km;114 g/km (comb.)
BMW M4 ;€ 104,990.-;9,200 km;02/2022;375 kW (510 hp);Used;1 previous owner;Automatic;Gasoline;10.2 l/100 km (comb.);0 g/km (comb.)
Volkswagen Golf ;€ 19,480.-;63,300 km;09/2019;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 19,480.-;63,500 km;03/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 17,980.-;108,000 km;03/2020;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Chevrolet Matiz ;€ 2,500.-;87,654 km;10/2005;38 kW (52 hp);Used;1 previous owner;Manual;Gasoline;5.2 l/100 km (comb.);127 g/km (comb.)
Volkswagen Golf ;€ 18,480.-;87,000 km;02/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Golf ;€ 15,480.-;148,900 km;07/2018;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);106 g/km (comb.)
Volkswagen Golf GTI ;€ 32,480.-;32,900 km;01/2020;180 kW (245 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Volkswagen Golf ;€ 16,980.-;110,000 km;10/2018;85 kW (116 hp);Used;1 previous owner;Automatic;Diesel;4.2 l/100 km (comb.);108 g/km (comb.)
Audi A4 ;€ 27,980.-;117,000 km;06/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;3.9 l/100 km (comb.);114 g/km (comb.)
Audi A4 ;€ 23,980.-;100,000 km;05/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;3.9 l/100 km (comb.);114 g/km (comb.)
Audi A4 ;€ 25,480.-;74,700 km;08/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;3.9 l/100 km (comb.);114 g/km (comb.)
Audi A4 ;€ 29,980.-;73,900 km;01/2020;100 kW (136 hp);Used;- (Previous Owners);Automatic;Diesel;4 l/100 km (comb.);102 g/km (comb.)
Mercedes-Benz A 180 ;€ 19,400.-;73,179 km;03/2015;90 kW (122 hp);Used;2 previous owners;Automatic;Gasoline;5.5 l/100 km (comb.);127 g/km (comb.)
Audi A4 ;€ 27,980.-;104,000 km;05/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Audi A4 ;€ 29,980.-;36,900 km;01/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Audi A4 ;€ 27,980.-;94,600 km;02/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Audi A4 ;€ 30,980.-;65,300 km;05/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Audi A4 ;€ 31,480.-;51,300 km;05/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Audi A4 ;€ 24,480.-;102,000 km;03/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.1 l/100 km (comb.);106 g/km (comb.)
Audi A4 ;€ 28,980.-;78,000 km;02/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Audi A4 ;€ 28,980.-;70,000 km;03/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
BMW 320 ;€ 29,900.-;49,600 km;11/2019;140 kW (190 hp);Used;1 previous owner;Manual;Diesel;4.6 l/100 km (comb.);119 g/km (comb.)
Audi A4 ;€ 28,980.-;69,500 km;03/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Audi A4 ;€ 29,480.-;52,300 km;01/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volvo S60 ;€ 5,499.-;217,617 km;01/2009;103 kW (140 hp);Used;- (Previous Owners);Manual;Gasoline;8.8 l/100 km (comb.);209 g/km (comb.)
Audi A4 ;€ 29,480.-;54,600 km;03/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Audi A4 ;€ 31,480.-;58,500 km;04/2019;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;4.5 l/100 km (comb.);116 g/km (comb.)
Audi A4 ;€ 30,980.-;60,100 km;05/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Audi A3 ;€ 24,480.-;44,500 km;01/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.4 l/100 km (comb.);115 g/km (comb.)
Audi A3 ;€ 19,480.-;132,300 km;03/2018;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.4 l/100 km (comb.);115 g/km (comb.)
Audi A3 ;€ 22,980.-;43,000 km;05/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.4 l/100 km (comb.);118 g/km (comb.)
Audi A3 ;€ 22,980.-;49,900 km;03/2020;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.4 l/100 km (comb.);114 g/km (comb.)
Audi A3 ;€ 22,480.-;76,500 km;03/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);108 g/km (comb.)
Audi A3 ;€ 21,980.-;64,500 km;02/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);108 g/km (comb.)
Audi A3 ;€ 22,480.-;60,500 km;04/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);108 g/km (comb.)
Audi A3 ;€ 22,980.-;63,900 km;01/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);108 g/km (comb.)
Audi A3 ;€ 22,480.-;59,300 km;01/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);108 g/km (comb.)
Audi A3 ;€ 20,980.-;65,400 km;07/2019;81 kW (110 hp);Used;- (Previous Owners);Automatic;Diesel;3.7 l/100 km (comb.);102 g/km (comb.)
Audi A3 ;€ 19,480.-;112,900 km;11/2018;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);108 g/km (comb.)
Audi A3 ;€ 23,980.-;63,500 km;06/2019;81 kW (110 hp);Used;1 previous owner;Automatic;Diesel;3.7 l/100 km (comb.);102 g/km (comb.)
Suzuki Swift ;€ 7,800.-;65,000 km;04/2012;55 kW (75 hp);Used;2 previous owners;Manual;Diesel;4.2 l/100 km (comb.);109 g/km (comb.)
Audi A3 ;€ 17,480.-;88,700 km;06/2018;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);104 g/km (comb.)
Audi A3 ;€ 18,980.-;69,000 km;04/2018;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);104 g/km (comb.)
Audi A3 ;€ 20,480.-;54,200 km;08/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Gasoline;4.4 l/100 km (comb.);103 g/km (comb.)
Audi A3 ;€ 22,480.-;62,900 km;03/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);108 g/km (comb.)
Skoda Octavia ;€ 21,980.-;137,400 km;12/2018;135 kW (184 hp);Used;- (Previous Owners);Automatic;Diesel;4.9 l/100 km (comb.);118 g/km (comb.)
Skoda Octavia ;€ 23,480.-;130,700 km;12/2018;135 kW (184 hp);Used;1 previous owner;Automatic;Diesel;4.9 l/100 km (comb.);118 g/km (comb.)
Skoda Octavia ;€ 29,980.-;94,900 km;10/2019;135 kW (184 hp);Used;1 previous owner;Automatic;Diesel;5.1 l/100 km (comb.);139 g/km (comb.)
Skoda Octavia ;€ 22,480.-;120,200 km;07/2018;135 kW (184 hp);Used;1 previous owner;Manual;Diesel;4.5 l/100 km (comb.);119 g/km (comb.)
Opel Crossland X ;€ 18,000.-;47,000 km;12/2019;88 kW (120 hp);Used;- (Previous Owners);Automatic;Diesel;4 l/100 km (comb.);104 g/km (comb.)
Skoda Octavia ;€ 18,980.-;103,200 km;03/2018;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.6 l/100 km (comb.);119 g/km (comb.)
Mercedes-Benz A 180 ;€ 17,600.-;168,000 km;03/2013;80 kW (109 hp);Used;- (Previous Owners);Automatic;Diesel;4.1 l/100 km (comb.);- (g/km)
Skoda Octavia ;€ 19,980.-;134,500 km;06/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.6 l/100 km (comb.);115 g/km (comb.)
Skoda Octavia ;€ 21,480.-;152,800 km;10/2018;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;5 l/100 km (comb.);129 g/km (comb.)
Renault Laguna ;€ 4,990.-;92,963 km;06/2010;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;6.1 l/100 km (comb.);- (g/km)
Skoda Octavia ;€ 17,480.-;145,000 km;10/2018;85 kW (116 hp);Used;1 previous owner;Automatic;Diesel;4 l/100 km (comb.);105 g/km (comb.)
Skoda Octavia ;€ 19,980.-;110,100 km;06/2020;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.2 l/100 km (comb.);111 g/km (comb.)
Skoda Octavia ;€ 16,970.-;155,500 km;08/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.2 l/100 km (comb.);111 g/km (comb.)
Skoda Octavia ;€ 15,980.-;148,700 km;09/2017;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);106 g/km (comb.)
Skoda Octavia ;€ 14,980.-;141,100 km;01/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Skoda Octavia ;€ 15,480.-;138,000 km;11/2018;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);106 g/km (comb.)
Skoda Octavia ;€ 17,480.-;132,000 km;06/2018;85 kW (116 hp);Used;1 previous owner;Automatic;Diesel;4 l/100 km (comb.);105 g/km (comb.)
Skoda Octavia ;€ 17,980.-;136,600 km;01/2019;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
